"DOI","publisher.x","type.x","created.x","created_year.x","relation_type.x","relation_DOI","asserted_by_object.x","asserted_by_subject.x","publisher.y","type.y","created.y","created_year.y","relation_type.y","asserted_by_object.y","asserted_by_subject.y","reciprocal"
"10.20944/preprints201807.0545.v1","MDPI AG","posted-content",2018-08-07,2018,"is-preprint-of","10.3390/children5090115",NA,"subject",NA,NA,NA,NA,NA,NA,NA,NA
"10.20944/preprints201807.0610.v1","MDPI AG","posted-content",2018-08-07,2018,"is-preprint-of","10.3390/geosciences8090327",NA,"subject",NA,NA,NA,NA,NA,NA,NA,NA
"10.20944/preprints201807.0577.v1","MDPI AG","posted-content",2018-08-07,2018,"is-preprint-of","10.3390/atmos9090346",NA,"subject",NA,NA,NA,NA,NA,NA,NA,NA
"10.20944/preprints201807.0602.v1","MDPI AG","posted-content",2018-08-07,2018,"is-preprint-of","10.3390/en11092317",NA,"subject",NA,NA,NA,NA,NA,NA,NA,NA
"10.20944/preprints201807.0615.v1","MDPI AG","posted-content",2018-08-07,2018,"is-preprint-of","10.3390/tropicalmed3030094",NA,"subject",NA,NA,NA,NA,NA,NA,NA,NA
"10.20944/preprints201807.0620.v1","MDPI AG","posted-content",2018-08-07,2018,"is-preprint-of","10.3390/catal8090364",NA,"subject",NA,NA,NA,NA,NA,NA,NA,NA
"10.20944/preprints201808.0054.v1","MDPI AG","posted-content",2018-08-07,2018,"is-preprint-of","10.3390/nano8090675",NA,"subject",NA,NA,NA,NA,NA,NA,NA,NA
"10.20944/preprints201808.0057.v1","MDPI AG","posted-content",2018-08-07,2018,"is-preprint-of","10.3390/ijerph15091891",NA,"subject",NA,NA,NA,NA,NA,NA,NA,NA
"10.20944/preprints201808.0029.v1","MDPI AG","posted-content",2018-08-07,2018,"is-preprint-of","10.3390/rs10091363",NA,"subject",NA,NA,NA,NA,NA,NA,NA,NA
"10.20944/preprints201808.0049.v1","MDPI AG","posted-content",2018-08-07,2018,"is-preprint-of","10.3390/s18092905",NA,"subject",NA,NA,NA,NA,NA,NA,NA,NA
"10.20944/preprints201808.0072.v1","MDPI AG","posted-content",2018-08-07,2018,"is-preprint-of","10.3390/w10091190",NA,"subject",NA,NA,NA,NA,NA,NA,NA,NA
"10.20944/preprints201808.0083.v1","MDPI AG","posted-content",2018-08-07,2018,"is-preprint-of","10.3390/e20090665",NA,"subject",NA,NA,NA,NA,NA,NA,NA,NA
"10.31234/osf.io/64qpj","Center for Open Science","posted-content",2018-08-07,2018,"is-preprint-of","10.1177/1359105318787013",NA,"subject",NA,NA,NA,NA,NA,NA,NA,NA
"10.31235/osf.io/e7wy6","Center for Open Science","posted-content",2018-08-08,2018,"is-preprint-of","10.22148/16.009",NA,"subject",NA,NA,NA,NA,NA,NA,NA,NA
"10.31234/osf.io/vurk5","Center for Open Science","posted-content",2018-08-08,2018,"is-preprint-of","10.1016/j.nlm.2018.09.007",NA,"subject",NA,NA,NA,NA,NA,NA,NA,NA
"10.20944/preprints201808.0151.v1","MDPI AG","posted-content",2018-08-10,2018,"is-preprint-of","10.3390/su10093122",NA,"subject",NA,NA,NA,NA,NA,NA,NA,NA
